
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
58,Bemidji St.,2,1,0,0,15,1,Al Wolden,0,Brian Leonhardt,1,Brian Leonhardt,12
59,Benedictine,5,0,0,0,180,16,Jamie Mueller,8,Irv Comp,11,Irv Comp,69
60,Bentley College,1,1,0,0,95,0,Mackenzy Bernadeau,25,Mackenzy Bernadeau,0,Mackenzy Bernadeau,95
61,Bethany (KS),1,0,0,0,77,0,Milt Rehnquist,0,Milt Rehnquist,0,Milt Rehnquist,77
62,Bethany (WV),9,0,0,0,91,6,Kyle MacWherter,0,Walt LeJeune,4,Walt LeJeune,50
63,Bethune-Cookman,39,3,1,13,1527,66,Larry Little,103,Boobie Clark,27,Larry Little,183
64,Birmingham-Southern,3,0,0,0,10,0,Hermit Davis,0,Hermit Davis,0,Charlie Ware,7
65,Bishop,13,0,1,6,710,64,Emmitt Thomas,69,Tony Martin,56,Tony McGee,202
66,Black Hills St.,1,0,0,0,6,0,Zac Alcorn,0,Zac Alcorn,0,Zac Alcorn,6
67,Bliss,2,0,0,0,20,0,Frank Glassman,0,Frank Glassman,0,Babe Houck,11
68,Bloomsburg,5,2,0,3,331,28,Jahri Evans,100,Bob Tucker,28,Bob Tucker,156
69,Bluffton,1,0,0,1,103,39,Elbert Dubenion,50,Elbert Dubenion,39,Elbert Dubenion,103
70,Boise St.,68,19,1,10,2569,71,Dave Wilcox,72,Doug Martin,15,Kimo von Oelhoffen,198
71,Boston Col.,209,16,2,55,10825,401,Tom Nalen,100,Jim Colclough,39,Bill Romanowski,243
72,Boston Univ.,38,1,0,9,1916,154,Butch Byrd,66,Bill Brooks,46,Mike Leach,219
73,Bowie St.,4,0,0,0,62,7,Isaac Redman,9,Isaac Redman,7,Isaac Redman,50
74,Bowling Green,51,3,0,16,2282,105,Doug Smith,67,Bernie Casey,40,Martin Bayless,192
75,Bradley,12,0,0,2,599,90,Harry Jacobs,53,Marcus Pollard,40,Marcus Pollard,192
76,Brandeis,1,0,0,0,2,0,Mike Long,0,Mike Long,0,Mike Long,2
77,Bridgeport,2,0,0,0,67,5,Nick Giaquinto,10,Nick Giaquinto,5,Nick Giaquinto,53
78,British Columbia,4,0,0,0,17,0,Bill Crawford,3,Ed Ryan,0,Ed Ryan,9
79,Brockport St.,2,0,0,0,11,0,Josh Warner,1,Mike Jones,0,Josh Warner,10
80,Brooklyn,2,0,0,0,61,4,Waddy MacPhee,0,Allie Sherman,4,Allie Sherman,51
81,Brown,49,2,1,12,1291,83,Steve Jordan,48,Steve Jordan,29,Steve Jordan,176
82,Bucknell,42,0,1,5,1086,133,Tom Mitchell,30,Clarke Hinkle,44,Tom Mitchell,145
83,Buena Vista,1,0,0,1,115,25,Jim Doran,7,Jim Doran,25,Jim Doran,115
84,Buffalo,22,8,0,2,573,16,Gerry Philbin,56,James Starks,8,Gerry Philbin,123
85,Butler,10,0,0,0,176,21,Curly Hinchman,0,Babe Dimancheff,15,Babe Dimancheff,63
86,Butte JC (CA),2,0,1,11,265,0,Larry Allen,99,Larry Allen,0,Larry Allen,203
87,BYU,145,8,1,27,6678,263,Steve Young,135,Steve Young,43,Lee Johnson,259
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
88,C.W. Post,9,0,0,0,70,1,Tom Cassese,4,Jim LeClair,1,Al Steinfeld,20
89,Cal Poly-Pomona,11,0,0,3,701,44,Jim Zorn,76,Jim Zorn,17,Jim Zorn,140
