
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
251,Gettysburg,5,0,0,0,48,0,Dave Yohn,7,Dave Yohn,0,Dave Yohn,18
252,Gonzaga,21,0,2,4,689,90,Mike Perko,3,Tony Canadeo,31,Tony Canadeo,116
253,Graceland College (IA),2,0,0,0,183,0,Jeff Criswell,56,Jeff Criswell,0,Jeff Criswell,171
254,Grambling St.,112,2,4,60,6895,448,Willie Brown,108,Charlie Joiner,65,Charlie Joiner,239
255,Grand Valley St.,20,7,0,0,727,41,Jeff Chadwick,36,Jeff Chadwick,28,Jeff Chadwick,126
256,Grinnell,2,0,0,0,105,23,Ben Douglas,0,Hap Moran,22,Hap Moran,99
257,Grossmont College (CA),1,0,0,0,5,0,Evan Arapostathis,0,Evan Arapostathis,0,Evan Arapostathis,5
258,Grove City,11,0,0,0,205,28,R.J. Bowers,1,Ben Jones,25,Butch Gibson,67
259,Guilford,2,0,0,0,8,1,Art Faircloth,0,Sam Venuto,1,Art Faircloth,5
260,Gustavus Adolphus,9,0,0,0,107,3,Tom Harmon,2,Bernie Nygren,1,Wendell Butcher,44
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
261,Hamline,11,0,0,0,283,30,Duane Benson,26,Carl Cramer,12,Duane Benson,121
262,Hampden-Sydney,3,0,0,0,79,2,Tom Miller,0,Tom Miller,2,Stu Worden,44
263,Hampton,33,7,0,1,826,6,Reggie Doss,46,Jerome Mathis,4,Reggie Doss,149
264,Hardin-Simmons,28,0,1,9,791,56,Mike Mercer,26,Bob McChesney,14,Bulldog Turner,138
265,Harding,3,1,0,0,46,0,Torrance Daniels,2,Torrance Daniels,0,Torrance Daniels,27
266,Harvard,32,4,0,7,1162,26,Matt Birk,84,Ryan Fitzpatrick,11,Matt Birk,210
267,Haskell Indian,19,0,0,1,228,16,Lou Jennings,0,Chief McLain,9,Larry Johnson,56
268,Hastings,3,0,0,0,95,10,Jerry Drake,8,Marc Boerigter,8,Marc Boerigter,41
269,Hawaii,87,6,0,9,4727,102,Jesse Sapolu,78,Golden Richards,18,Jason Elam,263
270,Heidelberg,11,1,0,0,393,51,Bill Groman,37,Bill Groman,37,Jim Boeke,119
271,Henderson JC,1,0,0,0,35,0,Margene Adkins,3,Margene Adkins,0,Margene Adkins,35
272,Henderson St.,10,0,0,2,598,74,Roy Green,70,Roy Green,69,Roy Green,190
273,Hibbing CC (MN),1,0,0,0,9,0,Joseph Chrape,0,Joseph Chrape,0,Joseph Chrape,9
274,Hillsdale,7,2,0,5,323,6,Howard Mudd,40,Andre Holmes,5,Chester Marcol,103
275,Hiram,2,0,0,0,50,1,Jimmie Kennedy,1,Jimmie Kennedy,1,Jimmie Kennedy,37
276,Hobart,4,0,0,0,26,1,George Barna,0,George Barna,1,George Barna,17
277,Hofstra,22,4,0,1,1199,135,Marques Colston,70,Marques Colston,68,Wayne Chrebet,152
278,Holy Cross,74,1,1,24,1907,110,Jon Morris,66,Doug Cosbie,30,Jon Morris,182
279,Holy Cross (IN),1,0,0,0,5,0,Tony Brooks,0,Tony Brooks,0,Tony Brooks,5
280,Houston,145,11,0,17,6739,385,Simon Fletcher,62,Antowain Smith,57,Larry Cole,176
281,Howard,23,1,0,2,1177,13,Antoine Bethea,53,Jimmie Johnson,5,Steve Wilson,140
282,Howard Payne,13,0,0,8,801,18,Ken Gray,68,Buck White,10,Bob Young,194
283,Humboldt St.,7,0,0,0,242,35,Wendell Hayes,39,Wendell Hayes,35,Wendell Hayes,133
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
284,Idaho,75,6,0,13,3049,47,Wayne Walker,85,Jerry Williams,18,Jeff Robinson,202
285,Idaho St.,26,3,0,4,964,60,Jared Allen,97,Merril Hoge,34,Jared Allen,172
286,Illinois,271,27,5,58,13019,828,Ray Nitschke,94,Bobby Mitchell,91,Doug Dieken,203
287,Illinois Benedictine,1,0,0,0,1,0,Rob DeVita,0,Rob DeVita,0,Rob DeVita,1
288,Illinois St.,31,6,0,0,867,22,Mike Prior,45,Laurent Robinson,15,Mike Prior,198
289,Illinois Tech,3,0,0,0,32,0,Joe Carey,0,Joe Carey,0,George Schmidt,13
290,Illinois Wesleyan,8,0,0,1,197,7,Bob Morrow,0,Bob Morrow,4,Tony Blazine,73
291,Indiana,190,11,1,38,7578,414,Trent Green,94,Pete Pihos,63,Dan Stryzinski,224
292,Indiana (PA),15,0,0,0,541,39,Chris Villarrial,50,Ben Jones,25,Chris Villarrial,155
293,Indiana St.,13,0,0,2,690,4,Tunch Ilkin,59,Vencie Glenn,3,Tunch Ilkin,177
294,Indianapolis,1,0,0,0,12,0,Dick Nyers,0,Dick Nyers,0,Dick Nyers,12
295,Iona,1,0,0,0,3,0,Laz Chavez,0,Laz Chavez,0,Laz Chavez,3
296,Iowa,258,30,3,78,12093,638,Paul Krause,113,Dallas Clark,53,Reggie Roby,238
297,Iowa Central,6,0,0,0,401,5,Ron Hallstrom,50,Tyji Armstrong,3,Ron Hallstrom,174
298,Iowa St.,104,10,0,14,4554,220,Matt Blair,72,Jim Doran,25,Marcus Robertson,162
299,Iowa Wesleyan,1,0,0,0,36,0,Sandy Sandberg,0,Sandy Sandberg,0,Sandy Sandberg,36
300,Itawamba JC,1,0,0,4,163,58,Joe Horn,69,Joe Horn,58,Joe Horn,163
301,ITESM Monterey,1,0,0,0,1,0,Rolando Cantu,0,Rolando Cantu,0,Rolando Cantu,1
302,Ithaca,1,0,0,0,5,0,Joe D'Orazio,0,Joe D'Orazio,0,Joe D'Orazio,5
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
303,Jackson St.,93,2,3,64,5548,646,Walter Payton,128,Walter Payton,125,Jackie Slater,259
304,Jacksonville,1,0,0,0,45,0,Micah Ross,0,Micah Ross,0,Micah Ross,45
305,Jacksonville St.,15,3,0,2,729,18,Eric Davis,66,Keith McKeller,11,Eric Davis,188
306,James Madison,14,4,1,10,842,68,Gary Clark,86,Gary Clark,65,Charles Haley,169
307,Jamestown,2,0,0,0,4,0,J.J. Syvrud,0,J.J. Syvrud,0,John Thomas,3
308,John Carroll,10,0,1,3,617,11,London Fletcher,96,Carl Taseff,8,London Fletcher,256
309,Johnson C. Smith,10,0,0,0,300,15,Pettis Norman,23,Pettis Norman,15,Pettis Norman,162
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
310,Kalamazoo,4,0,0,0,43,4,John Cameron,0,Frank Fausch,3,Marty Conrad,22
311,Kansas,156,9,3,40,6891,502,John Hadl,104,John Riggins,116,John Hadl,224
312,Kansas St.,166,17,0,14,7380,520,Steve Grogan,90,Larry Brown,55,Clarence Scott,186
313,Kent St.,51,10,1,24,2432,210,Jack Lambert,109,Antonio Gates,99,Antonio Gates,179
314,Kentucky,163,16,2,42,8557,347,Dermontti Dawson,97,Steve Johnson,31,George Blanda,340
315,Kentucky St.,13,0,0,0,357,9,Cletidus Hunt,29,Willie Rodgers,8,Cletidus Hunt,85
316,Kenyon,2,0,0,0,12,0,Jimmy Baxter,0,Jimmy Baxter,0,Herb Stock,7
317,King Alfred's (England),1,0,0,1,116,0,John Smith,27,John Smith,0,John Smith,116
318,Kings Point,3,0,0,0,112,8,Joe Rizzo,32,Bob Pfohl,8,Joe Rizzo,81
319,Knox,3,0,0,0,96,25,Bob Prout,4,Bill Senn,25,Bill Senn,79
320,Knoxville,2,0,0,0,261,0,Grady Jackson,50,Grady Jackson,0,Grady Jackson,185
321,Kutztown Pennsylvania,6,0,1,7,496,129,Andre Reed,98,Andre Reed,88,Andre Reed,234
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
322,La Salle,2,0,0,0,53,0,Mike Mandarino,0,Mike Mandarino,0,George Somers,40
323,La Verne,1,0,0,0,2,0,Joaquin Zendejas,0,Joaquin Zendejas,0,Joaquin Zendejas,2
324,La-Lafayette,46,1,0,8,2422,131,Charles Tillman,66,Brandon Stokley,39,Brian Mitchell,223
325,La-Monroe,46,2,0,5,2217,187,Stan Humphries,50,Hugh Taylor,58,Jackie Harris,167
326,Lafayette,28,1,0,0,540,53,Blake Costanzo,7,Doc Elliott,17,Blake Costanzo,91
327,Lake Forest,4,0,0,0,22,0,John Biolo,0,Hub Shoemake,0,Mush Crawford,12
328,Lakeland,2,0,0,0,190,6,Pat Curran,13,Pat Curran,6,Pat Curran,122
329,Lamar,25,0,0,2,729,10,Wayne Moore,44,Tommie Smiley,5,Johnny Fuller,99
330,Lambuth,2,0,0,0,40,4,Ron Dixon,6,Ron Dixon,4,Ron Dixon,37
331,Lane,6,2,0,0,178,41,Jacoby Jones,30,Jacoby Jones,23,Jacoby Jones,119
332,Laney College (CA),1,0,0,0,22,0,Al Andrews,4,Al Andrews,0,Al Andrews,22
333,Langston,12,1,0,7,628,104,Chad Johnson,87,Chad Johnson,67,Chad Johnson,166
334,Lawrence,8,0,0,0,143,22,Rip Owens,0,Eddie Kotal,10,Eddie Kotal,46
335,Lebanon Valley,6,0,0,0,234,34,Ken Longenecker,3,Hinkey Haines,22,Bull Behman,90
336,Lehigh,31,2,0,0,807,24,John Hill,50,Steve Kreider,9,John Hill,177
337,Lenoir-Rhyne,6,0,0,0,109,7,Don Testerman,14,Don Testerman,7,Don Testerman,49
338,Lewis &amp; Clark,1,0,0,0,36,0,Jon Jaqua,7,Jon Jaqua,0,Jon Jaqua,36
339,Liberty,18,4,0,4,780,119,Eric Green,32,Eric Green,36,Dwayne Carswell,163
340,Lincoln (MO),11,0,0,10,597,24,Lemar Parrish,87,Lemar Parrish,13,Lemar Parrish,166
341,Lincoln Col.,1,0,0,0,1,0,Ray MacMurray,0,Ray MacMurray,0,Ray MacMurray,1
342,Lindenwood,3,1,0,0,74,1,Brian Schaefering,6,De Dorsey,1,Brian Schaefering,40
343,Linfield,6,0,0,0,115,1,Randy Marshall,6,Randy Marshall,1,Paul Dombroski,63
344,Livingstone,3,0,0,5,177,50,Ben Coates,42,Ben Coates,50,Ben Coates,158
345,Lock Haven,2,0,0,0,3,0,Bret Shugarts,1,John Eisenhooth,0,Bret Shugarts,2
346,Lombard,5,0,0,0,89,9,Swede Hummel,0,Roddy Lamb,6,Roddy Lamb,32
347,Long Beach CC,2,0,0,0,66,6,Charles Jordan,7,Charles Jordan,5,Charles Jordan,47
348,Long Beach St.,35,0,0,7,1580,144,Terrell Davis,72,Terrell Davis,65,Mike Horan,205
349,Long Island,2,0,0,0,21,0,Bernie Kapitansky,0,Bernie Kapitansky,0,Bob Trocolor,14
350,Loras,6,0,0,0,57,1,Howie Ruetz,0,Tommy Cronin,1,Bob Hanlon,22
351,Los Angeles CC,1,0,0,1,96,1,Don Bishop,31,Don Bishop,1,Don Bishop,96
352,Los Angeles St.,14,0,0,3,628,19,Walter Johnson,59,Ralph Anderson,6,Walter Johnson,182
353,Louisiana Tech,71,12,3,26,4037,241,Willie Roaf,108,Pat Tilley,37,Matt Stover,297
354,Louisville,141,19,1,57,6868,403,Johnny Unitas,114,Mark Clayton,85,David Akers,237
355,Loyola (IL),10,0,0,0,92,1,Ed Greene,0,Les Molloy,1,Les Molloy,26
356,Loyola (LA),3,0,0,4,237,4,Richie Petitbon,86,Richie Petitbon,3,Richie Petitbon,179
357,Loyola (MD),1,0,0,0,20,0,Marne Intrieri,0,Marne Intrieri,0,Marne Intrieri,20
358,Loyola Marymount,15,0,0,6,491,62,Gene Brito,4,Bob Boyd,28,Gene Brito,97
359,LSU,325,50,3,91,17198,1389,Alan Faneca,113,Jim Taylor,93,Kevin Mawae,241
360,Luther,3,0,0,0,9,0,Cliff Hansen,0,Cliff Hansen,0,Cliff Hansen,5
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
361,Macalester,4,0,0,0,91,0,Lee Nystrom,2,Lloyd Young,0,Bill Stein,39
362,MacMurray,1,0,0,1,238,0,Olindo Mare,34,Olindo Mare,0,Olindo Mare,238
363,Maine,22,6,0,2,1099,15,Mike Flynn,40,Thurlow Cooper,8,Mike Flynn,134
364,Manchester,5,0,0,0,24,0,Herb Banet,0,Paul Shenefelt,0,Don Lieberum,11
365,Manhattan,5,0,0,0,46,1,Frank Damiani,0,Art Jocher,1,Art Jocher,21
366,Manitoba,2,1,0,0,189,1,Israel Idonije,34,Israel Idonije,1,Israel Idonije,149
367,Mankato St.,6,0,0,0,100,10,Bob Bruer,7,Bob Bruer,8,Bob Bruer,68
368,Marietta,8,0,0,0,138,1,Peck Reiter,0,Dosey Howard,1,Dosey Howard,64
369,Marion Military Institute,1,0,0,0,24,2,Bernard Ford,1,Bernard Ford,2,Bernard Ford,24
370,Marist,2,1,0,0,11,0,Terrence Fede,1,Terrence Fede,0,Terrence Fede,11
371,Marquette,70,0,0,11,1947,120,George Andrie,71,Johnny Strzykalski,31,George Andrie,141
372,Mars Hill,1,0,0,0,16,0,Khalid Abdullah,1,Khalid Abdullah,0,Khalid Abdullah,16
373,Marshall,64,12,1,15,2998,308,Randy Moss,123,Randy Moss,157,Randy Moss,218
374,Maryland,208,20,2,56,10420,488,Randy White,116,Gary Collins,70,Randy White,209
375,Massachusetts,36,9,0,3,1305,80,Greg Landry,80,Victor Cruz,24,Greg Landry,146
376,McGill,3,1,0,0,133,0,Jean-Phillipe Darche,6,Randy Chevrier,0,Jean-Phillipe Darche,120
377,McMurry,5,0,0,0,174,4,Ernie Park,20,Dick Compton,4,Ernie Park,74
378,McNeese St.,33,1,0,5,1380,46,Tom Sestak,63,Stephen Starring,11,Leonard Smith,138
379,McPherson,1,0,0,0,4,0,Jack Vetter,0,Jack Vetter,0,Jack Vetter,4
380,Md-Eastern Shore,24,0,1,21,1945,105,Art Shell,92,Emerson Boozer,65,Carl Hairston,224
381,Memphis,108,11,0,17,5330,252,Isaac Bruce,102,Isaac Bruce,91,Ray Brown,257
382,Menlo,3,0,0,0,57,2,Nate Jackson,2,Nate Jackson,2,Nate Jackson,41
383,Mercer,4,0,0,0,89,2,Wesley Duke,0,Al Owen,1,Les Olsson,57
384,Mercyhurst,1,0,0,0,65,6,Matthew Hatchette,9,Matthew Hatchette,6,Matthew Hatchette,65
385,Mesa,12,0,0,1,610,69,Tony Martin,66,Tony Martin,56,Tony Martin,177
386,Mesa St.,1,0,0,0,21,0,Anthony Parker,1,Anthony Parker,0,Anthony Parker,21
387,Miami (FL),318,48,6,163,18609,1665,Ray Lewis,158,Edgerrin James,91,Jeff Feagles,352
388,Miami (OH),74,4,0,3,2291,149,Ben Roethlisberger,103,Sherman Smith,38,Ben Roethlisberger,159
389,Michigan,353,29,6,106,18592,1293,Tom Brady,152,Elroy Hirsch,66,Mike Kenn,251
390,Michigan St.,289,23,2,107,14433,995,Herb Adderley,106,Andre Rison,84,Morten Andersen,386
391,Michigan Tech,5,1,0,0,256,0,Bob Lurtsema,40,Jim Van Wagner,0,Bob Lurtsema,144
392,MidAmerican Nazarene,1,0,0,0,32,0,Ken Jolly,7,Ken Jolly,0,Ken Jolly,32
393,Middle Tenn. St.,22,3,0,0,1515,40,Don Griffin,57,Dwight Stone,15,Dwight Stone,216
394,Middlebury,2,0,0,0,14,0,Phil Bower,0,Phil Bower,0,Stone Hallquist,9
395,Midwestern St.,6,2,0,1,321,37,Dominic Rhodes,36,Dominic Rhodes,32,Dominic Rhodes,99
396,Miles,1,0,0,0,1,0,Ed McCall,0,Ed McCall,0,Ed McCall,1
397,Millersville,4,0,0,0,113,28,Robb Riddick,17,Robb Riddick,27,Robb Riddick,78
398,Millikin,12,0,1,3,455,23,Jeff Query,15,Jeff Query,12,George Musso,128
399,Millsaps,2,0,0,0,121,0,Ed Khayat,26,Ed Khayat,0,Ed Khayat,117
400,Milton,2,0,0,3,225,13,Dave Krieg,97,Dave Krieg,13,Dave Krieg,213
401,Minnesota,240,6,5,76,9715,526,Carl Eller,123,Marion Barber,59,Carl Eller,225
402,Minnesota-Crookston,2,0,0,1,47,0,Ira Haaven,0,Ira Haaven,0,Ed Widseth,44
403,Minnesota-Duluth,6,0,0,0,177,23,Ted McKnight,21,Ted McKnight,23,Ted McKnight,68
404,Minot St.,2,0,0,0,38,0,Terry Falcon,8,Terry Falcon,0,Terry Falcon,31
405,Miramonte JC,1,0,0,0,48,21,Mickey Colmer,0,Mickey Colmer,21,Mickey Colmer,48
406,Miss. Valley St.,26,0,2,22,1520,236,Jerry Rice,159,Jerry Rice,208,Jerry Rice,303
407,Mississippi,208,20,2,62,10151,568,Eli Manning,96,Deuce McAllister,55,Kelvin Pritchett,208
408,Mississippi Col.,8,0,0,1,416,9,Larry Evans,33,Fred McAfee,9,Fred McAfee,194
409,Mississippi Delta CC,1,0,0,0,109,1,Juran Bolden,14,Juran Bolden,1,Juran Bolden,109
410,Mississippi St.,163,20,0,22,7675,261,Kent Hull,87,Eric Moulds,50,Walt Harris,193
411,Missouri,184,27,2,43,7877,568,Justin Smith,98,James Wilder,47,Justin Smith,221
412,Missouri Southern,9,2,0,3,480,96,Rod Smith,102,Rod Smith,71,Rod Smith,183
413,Missouri State,1,1,0,0,2,0,David Arkin,0,David Arkin,0,David Arkin,2
414,Missouri Valley,3,0,0,1,94,1,Ron Hall,42,Ron Hall,1,Ron Hall,90
415,Missouri Western St.,4,2,0,0,113,2,Greg Zuerlein,9,Gijon Robinson,1,Greg Zuerlein,48
416,Missouri-Rolla,3,0,0,0,36,0,Charlie Copley,0,Charlie Copley,0,Charlie Copley,30
417,Monmouth,5,2,0,2,137,37,Miles Austin,38,Miles Austin,37,Miles Austin,118
418,Monmouth (IL),2,0,0,0,213,10,Jug Earp,0,Keith Molesworth,10,Jug Earp,132
419,Montana,56,9,0,5,2481,33,Doug Betters,60,Wild Bill Kelly,7,Guy Bingham,199
420,Montana St.,24,3,1,6,1335,30,Jan Stenerud,54,Sam McCullum,26,Jan Stenerud,263
421,Montana Tech,2,0,0,0,3,0,Don Heater,0,Don Heater,0,Don Heater,2
422,Montclair St.,7,0,0,5,222,4,Sam Mills,101,Sam Mills,4,Sam Mills,181
423,Moorhead State (MN),2,0,0,0,5,0,Ted Nemzek,0,Ted Nemzek,0,Ted Nemzek,4
424,Moravian,1,0,0,0,9,2,Jack Finn,0,Jack Finn,2,Jack Finn,9
425,Morehead St.,8,0,0,2,308,17,Phil Simms,91,Gary Shirk,11,Phil Simms,164
426,Morehouse,5,1,0,0,100,0,Kalvin Pearson,7,Chigbo Anunoby,0,Kalvin Pearson,79
427,Morgan St.,40,0,4,33,2205,283,Willie Lanier,88,Leroy Kelly,90,Raymond Chester,172
428,Moriane Valley CC (IL),1,0,0,0,2,0,Dave Bruno,0,Dave Bruno,0,Dave Bruno,2
429,Morningside,7,0,0,0,59,5,Herb McMath,5,Obe Wenig,3,Herb McMath,22
430,Morris Brown,14,0,0,6,1115,55,George Atkinson,63,Alfred Jenkins,40,Ezra Johnson,192
431,Mount San Antonio JC,3,0,0,0,181,5,Alfonso Boone,23,Duane Allen,5,Alfonso Boone,129
432,Mount Senario,1,0,0,0,3,0,Craig Jay,0,Craig Jay,0,Craig Jay,3
433,Mount St. Mary's,2,0,0,0,20,1,Fritz Ferko,0,Joe Lamas,1,Fritz Ferko,12
434,Mount Union,8,4,0,0,168,41,Pierre Garcon,40,Pierre Garcon,29,Pierre Garcon,100
435,Muhlenberg,11,0,0,0,142,5,Scrapper Farrell,0,Scrapper Farrell,3,Sisto Averno,51
436,Murray St.,20,2,0,0,376,24,Reggie Swinton,8,Stan Fritts,13,Gil Mains,85
437,Muskingum,5,0,0,0,138,7,Roger LaLonde,8,Doug Russell,6,Doug Russell,52
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
438,Navy,29,1,1,13,1502,100,Roger Staubach,105,Bob Hoernschemeyer,39,Todd Peterson,159
439,NE Illinois,1,0,0,0,3,0,Ron Daugherty,0,Ron Daugherty,0,Ron Daugherty,3
440,NE Oklahoma,1,0,0,0,4,0,Alvro Casey,0,Alvro Casey,0,Alvro Casey,4
441,NE Oklahoma A&amp;M,5,0,0,5,447,96,Ernest Givins,65,Ernest Givins,51,Scott Case,178
442,NE State (OK),9,0,0,3,376,19,Pat Williams,73,Derrick Moore,12,Pat Williams,200
443,Nebraska,349,27,5,79,17475,823,Will Shields,113,Irving Fryar,88,Irving Fryar,255
444,Nebraska Wesleyan,4,0,1,0,210,18,Shawn Bouwens,21,Guy Chamberlin,17,Guy Chamberlin,92
445,Nebraska-Kearney,5,2,0,0,234,1,Randy Rasmussen,63,Randy Rasmussen,1,Randy Rasmussen,207
446,Nebraska-Omaha,17,2,0,1,803,73,Marlin Briscoe,40,Marlin Briscoe,33,Marlin Briscoe,105
447,Nevada,66,11,1,11,3244,176,Charles Mann,78,Nate Burleson,43,Brock Marion,182
448,New Hampshire,22,1,0,2,1026,16,Jerry Azumah,30,Cy Wentworth,6,Dan Kreider,138
449,New Haven,5,0,0,0,126,0,Harry Boatswain,14,Roger Graham,0,Harry Boatswain,74
450,New Mex. Highlands,11,0,0,7,910,108,Charlie Cowan,74,Lionel Taylor,45,Charlie Cowan,206
451,New Mex. Mil. Inst.,4,0,1,6,163,20,Roger Staubach,105,Roger Staubach,20,Roger Staubach,131
452,New Mexico,64,5,0,19,3043,215,Brian Urlacher,118,Terance Mathis,66,Terance Mathis,206
453,New Mexico St.,49,4,0,10,2323,97,Charley Johnson,79,Duriel Harris,20,Walter Johnson,182
454,New York Tech,2,0,0,0,3,0,Chris Brown,0,Chris Brown,0,James Eaddy,2
455,Newberry,4,2,0,0,97,2,Ron Parker,8,Brandon Bostick,2,Ron Parker,42
456,Newport (Wales),1,0,0,0,4,0,Allan Watson,0,Allan Watson,0,Allan Watson,4
457,Niagara,8,0,0,0,96,3,Roman Piskor,0,Al Guarnieri,2,Roman Piskor,34
458,Nicholls St.,21,2,0,4,760,63,Mark Carrier,60,Mark Carrier,51,Mark Carrier,177
459,none,471,1,0,18,6617,351,Otis Sistrunk,51,Cookie Gilchrist,43,Garo Yepremian,177
460,Norfolk St.,15,1,0,1,751,16,Ken Reaves,49,Ray Jarvis,11,Ken Reaves,165
461,North (MI),1,0,0,0,14,0,Dedrick Roper,1,Dedrick Roper,0,Dedrick Roper,14
462,North Alabama,23,2,0,3,901,54,Ronald McKinnon,47,Harlon Hill,40,Ronald McKinnon,157
463,North Carolina,219,28,2,61,12629,610,Lawrence Taylor,137,Ken Willard,62,Ethan Albright,236
464,North Carolina A&amp;T,32,0,1,12,1627,74,Elvin Bethea,65,J.D. Smith,46,Elvin Bethea,210
465,North Carolina Central,26,0,0,8,1491,38,Doug Wilkerson,86,Robert Clark,18,Doug Wilkerson,204
466,North Carolina St.,157,21,0,42,7781,548,Philip Rivers,114,Torry Holt,74,Jim Ritcher,218
467,North Central,3,0,0,0,83,1,Levert Carr,12,Fritz Roeseler,1,Levert Carr,55
468,North Dakota,27,0,0,2,1004,47,Jim LeClair,57,Dave Osborn,36,Jim Kleinsasser,181
469,North Dakota St.,28,6,0,4,979,17,Steve Nelson,70,Stacy Robinson,7,Tyrone Braxton,181
470,North Dakota-Ellendale,1,0,0,5,132,47,Pete Retzlaff,59,Pete Retzlaff,47,Pete Retzlaff,132
471,North Park,1,0,0,0,11,0,Paul Zaeske,0,Paul Zaeske,0,Paul Zaeske,11
472,North Texas,68,4,1,33,3365,263,Joe Greene,103,Abner Haynes,69,Brian Waters,186
473,Northeastern,15,0,0,2,698,32,Sean Jones,67,Dan Ross,19,Sean Jones,201
474,Northern Arizona,39,0,0,0,1606,90,Michael Haynes,50,Michael Haynes,47,Michael Haynes,147
475,Northern Colorado,14,1,0,4,881,61,Vincent Jackson,72,Vincent Jackson,54,Aaron Smith,160
476,Northern Illinois,60,8,0,6,1868,105,Ryan Diem,70,Michael Turner,67,Hollis Thomas,178
477,Northern Iowa,32,3,0,8,1624,37,Kurt Warner,96,Dedric Ward,12,Brad Meester,209
478,Northern Michigan,10,1,0,1,553,6,Len St. Jean,41,Bill Rademacher,3,Len St. Jean,140
479,Northern State Univ.,3,0,0,0,63,9,D.J. Hackett,14,D.J. Hackett,9,D.J. Hackett,42
480,Northern Virginia CC,1,0,0,0,92,0,John Leypoldt,18,John Leypoldt,0,John Leypoldt,92
481,Northland (WI),1,0,0,0,2,0,Paul Feldhausen,1,Paul Feldhausen,0,Paul Feldhausen,2
482,Northwestern,178,12,2,46,6965,401,Chris Hinton,78,Otto Graham,46,John Kidd,215
483,Northwood College,1,0,0,0,80,0,Chris Wilson,6,Chris Wilson,0,Chris Wilson,80
484,Norwich,4,0,0,0,86,25,Jim Luscinski,1,Frank Liebel,24,Frank Liebel,62
485,Notre Dame,543,40,13,171,26673,1734,Alan Page,135,Tim Brown,105,John Carney,321
486,NW (IA),1,0,0,0,24,0,Kelvin Korver,10,Kelvin Korver,0,Kelvin Korver,24
487,NW Missouri St.,11,1,0,0,196,1,Seth Wand,11,Ivan Schottel,1,Dave Tollefson,78
488,NW Oklahoma St.,8,0,0,2,438,40,Chip Myers,34,Patrick Crayton,27,Brian Sochia,128
489,NW State (LA),45,1,1,19,2330,285,Mark Duper,76,Mark Duper,59,Jackie Smith,210
490,NYU,29,0,1,0,522,37,Chief Toorock,0,Ken Strong,34,Ken Strong,131
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
491,Oberlin,1,0,0,0,4,4,Herb Henderson,0,Herb Henderson,4,Herb Henderson,4
492,Occidental,7,0,0,7,322,47,Jack Kemp,70,Jack Kemp,40,Jack Kemp,122
493,Oglethorpe,2,0,0,0,22,0,Ted Fulton,0,Ted Fulton,0,Ted Fulton,13
494,Ohio,41,9,0,5,1244,12,Jonathan Goodwin,58,LaVon Brazill,3,Jonathan Goodwin,195
495,Ohio Dominican,1,0,0,0,3,0,Dom Albanese,0,Dom Albanese,0,Dom Albanese,3
496,Ohio Northern,5,1,0,0,185,2,Jason Trusnik,17,Jamal Robertson,2,Jason Trusnik,109
497,Ohio St.,425,43,7,155,22247,1551,Paul Warfield,106,Cris Carter,131,Jim Marshall,282
498,Ohio Wesleyan,14,0,0,0,170,10,Keith Rucker,22,Sonny Winters,4,Keith Rucker,63
499,Oklahoma,337,34,3,75,14880,953,Troy Aikman,97,Adrian Peterson,91,Keith Traylor,229
500,Oklahoma Baptist,2,0,0,0,14,0,Clark Craig,0,Clark Craig,0,Ewell Phillips,12
501,Oklahoma City,10,0,0,4,322,78,Marion Shirley,0,Hugh Taylor,58,Hugh Taylor,94
